id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
386,PolyQuity,polygon:0x5a3064CbDCCF428ae907796cF6aD5a664CD7F3d8,PYQ,Polygon,polyquity,2,11742,CDP,['Polygon'],,polyquity,324818.41880473937,,0.0,2022-07-23
193,Unit Protocol,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,DUCK,Ethereum,unit-protocol-duck,2,7977,CDP,['Ethereum'],,unit-protocol,185848.89994751092,12608120.0,5608586.0,2022-07-23
323,Fluity,bsc:0x83b325dbA77d55644619a4Ff29D42EE4487BCf31,FLTY,Binance,fluity,3,9722,CDP,['Binance'],,fluity,40523.825000000004,,0.0,2022-07-23
733,Stabilize,avax:0x37d87e316CB4e35163881fDb6c6Bc0CdBa91dc0A,SET,Avalanche,stabilize-token,0,,CDP,['Avalanche'],['Chainlink'],stabilize,27874.08814835451,4698382.0,0.0,2022-07-23
997,Piggy,bsc:0x1beac6df550be0ad146dd99b4726c6bec9c5c6a5,PIGGY,Binance,piggy,2,12735,CDP,['Binance'],,piggy,23503.777158858567,98309.0,0.0,2022-07-23
330,Aquarius,fantom:0x0f7ADb77B6334B9B5A3c4f78aAa073eA1D915bF6,AQU,Fantom,aquarius-fi,3,12559,CDP,['Fantom'],,aquarius,21418.499345815,,0.0,2022-07-23
724,Handle Fi,0xdb298285fe4c5410b05390ca80e8fbe9de1f259b,FOREX,Multi-Chain,handle-fi,2,11794,CDP,"['Ethereum', 'Arbitrum']",['Chainlink'],handle-fi,7760.54439029949,3416780.0,191872.0,2022-07-23
1387,DEUS Finance,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,DEUS,Multi-Chain,deus-finance-2,0,12972,CDP,"['Ethereum', 'Polygon', 'Fantom']",[],deus-finance,7024.58718790904,14009283.0,4753449.0,2022-07-23
912,FLRLoans,,-,Songbird,,0,,CDP,['Songbird'],,flrloans,5049.936855059061,,,2022-07-23
1716,North Pole,avax:0x65069e550C5526c029DC9135eDD02F6683859Ac1,POLE,Avalanche,north,0,17907,CDP,['Avalanche'],[],north-pole,1989.2403933858272,100914.0,0.0,2022-07-23
823,TomoFinance,tomo:-,TFI,TomoChain,,0,,CDP,['TomoChain'],,tomofinance,442.564088,,,2022-07-23
738,Defi Halal,polygon:0x7F6758884235448f3B096738Cf98D61541f0F8F6,HALAL,Polygon,,3,,CDP,['Polygon'],['Chainlink'],defi-halal,179.15236174056562,,,2022-07-23
270,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,Ethereum,liquity,2,7429,CDP,['Ethereum'],['Chainlink'],liquity,0.0,99450584.0,79300242.0,2022-07-23
1388,Parasset,0x139cec55d1ec47493dfa25ca77c9208aba4d3c68,ASET,Ethereum,parasset,0,9660,CDP,['Ethereum'],['Nest'],parasset,0.0,10023277.0,0.0,2022-07-23
