id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
1010,Ice DAO,avax:0x9235b893a3e61a14b2d02a91ec1394fbf411689e,ICE,Avalanche,ice-dao,0,15828,Reserve Currency,['Avalanche'],,ice-dao,3.5133999999999997e-07,,0.0,2022-07-23
1310,ZeroShift,avax:0xf436Ea4C4f2e49F0679895aEAE39dab698350eAa,ZRST,Avalanche,,0,,Reserve Currency,['Avalanche'],,zeroshift,1.6215734307926002e-11,,,2022-07-23
933,Nidhi-Dao,Polygon:0x057E0bd9B797f9Eeeb8307B35DbC8c12E534c41E,GURU,Polygon,nidhi-dao,0,15074,Reserve Currency,['Polygon'],,nidhi-dao,5.26976807105e-13,,779481.0,2022-07-23
858,Piggybank DAO,avax:0x0E75CDb914DdCcA683357dD94d26Caa39BC14B16,PB,Avalanche,piggy-bank,2,14780,Reserve Currency,['Avalanche'],,piggybank-dao,6.67651296e-16,29641.0,0.0,2022-07-23
802,SquidDao,0x21ad647b8f4fe333212e735bfc1f36b4941e6ad2,SQUID,Ethereum,squid,0,13620,Reserve Currency,['Ethereum'],,squiddao,0.0,,207076.0,2022-07-23
805,Snowbank,avax:0x7d1232b90d3f809a54eeaeebc639c62df8a8942f,SB,Avalanche,snowbank,0,14027,Reserve Currency,['Avalanche'],,snowbank,0.0,,36185055.0,2022-07-23
853,AxeDAO,0x30AC8317DfB0ab4263CD8dB1C4F10749911B126C,AXE,Ethereum,axedao,2,14609,Reserve Currency,['Ethereum'],,axedao,0.0,2203684.0,0.0,2022-07-23
866,Reverse,harmony:0xed0b4b0f0e2c17646682fc98ace09feb99af3ade,RVRS,Harmony,reverse-protocol,2,null,Reserve Currency,['Harmony'],,reverse,0.0,8500124.0,0.0,2022-07-23
881,SafeOHM,bsc:0xBDaa094a95e452c6bA175cE9EdfeFBa04e6a51Ac,SOHM,Binance,safe-ohm,0,14432,Reserve Currency,['Binance'],,safeohm,0.0,,0.0,2022-07-23
926,Metaversepro,bsc:0x0a2046C7fAa5a5F2b38C0599dEB4310AB781CC83,META,Binance,metaversepro,0,14075,Reserve Currency,['Binance'],,metaversepro,0.0,,69679.0,2022-07-23
929,RaDao,bsc:0xcc238200cFfdA7A5E2810086c26d5334e64F1155,RA,Binance,,0,15358,Reserve Currency,['Binance'],,radao,0.0,,,2022-07-23
949,Lobis,eth:0xdec41db0c33f3f6f3cb615449c311ba22d418a8d,LOBI,Ethereum,lobis,0,15093,Reserve Currency,['Ethereum'],,lobis,0.0,438926.0,0.0,2022-07-23
982,VikingsFinance,avax:0xE0474c15BC7f8213eE5bfB42f9E68B2d6BE2e136,VAL,Avalanche,vikings-finance,0,15611,Reserve Currency,['Avalanche'],,vikingsfinance,0.0,666608577607220.0,0.0,2022-07-23
991,MidasDAO,avax:0x39912d83acb4a373321387300f4fbe88aa5d6f14,CROWN,Avalanche,midasdao,0,15606,Reserve Currency,['Avalanche'],,midasdao,0.0,,0.0,2022-07-23
